# GENUINE residue of the relocation-name audit -- WORKLIST, NOT A DEFECT LIST.
# Regenerate: tools/relocname_genuine_worklist.py --out <this file>
# Source     : decomp-bench/archive/harvest/relocname-audit-2026-08-06/pairs_folded2.json (sha256 af61ba6ae8b4e1f0...)
# Audit tree : rb3-xenon@a236686e   ruler: name_check, objdiff-cli sha256 ca2be75232767f53...
# Cut at     : rb3-xenon@e8fe5238
# Rows       : 3004 rows = 3356 charged call sites over 1506 distinct (T,B) pairs, 2863 enclosing functions, 561 units
# pair_sites : charged sites for this (T,B) pair BINARY-WIDE.  fn_sites: charged sites for it inside THIS enclosing function.
# body       : DIFF_SAMESIZE=170  DIFF_SIZE=2834
#              DIFF_SIZE = our body for B differs in LENGTH from retail at addr(T); DIFF_SAMESIZE = same length, different code.
# map        : the SYMBOL-MAP verdict for the same pair. It disagrees with `body` constantly and the body test is the one to believe --
#              6,677 pairs the map test calls a defect are byte-identical bodies. Kept only so the divergence stays visible.
# joins      : T = target callee still in scripts/target_symbol_map.json; B = our callee still named by a built obj, AT THE CUT COMMIT.
#              -B=6  T-=15  TB=2983
#
# *** GENUINE IS AN UPPER BOUND ON DEFECTS. *** A body difference means EITHER our source calls the wrong function OR the retail map
# mis-attributes the name at the destination VA -- and this repo's whole map(...) lane series exists to repair the latter. The adjudicated
# figure for the whole at-100 charged population is 298 fns / 25,920 B / 0.2425 pp WRONG (lane CW-2, 34017f74); CV-4's earlier estimate was
# 353 fns / 24,836 B / 0.23 pp (34b44dd6). Adjudicate a row with tools/xbin_adjudicate.py (cross-binary, masks exactly the relocated
# field via our own relocation table, calibrated) or tools/at100_adjudicate.py -- NEVER from the symbol map, and NEVER auto-apply.
# The upstream comparator masks every D-form and branch displacement unconditionally and ignores relocation target names, so it
# over-produces FOLD and this residue is if anything SHORT. Not a population census.
pair_sites	fn_sites	body	map	joins	opcode	unit	enclosing_fn	target_callee	our_callee
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Campaign	?ConfigureCampaignKeyData@Campaign@@QAAXPAVDataArray@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/CampaignSongInfoPanel	?Enter@CampaignSongInfoPanel@@UAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Char	?NewObject@CharBonesObject@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/CharacterCreatorPanel	?CreateNewCharacter@CharacterCreatorPanel@@QAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Cheats	?CheatsInit@@YAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/ChordbookPanel	??0ChordbookPanel@@QAA@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/ContentMgr_Xbox	?Delete@XboxContent@@UAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/ContentMgr_Xbox	?Unmount@XboxContent@@UAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	2	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/DataFile	?DataWriteFile@@YAXPBDPBVDataArray@@H@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/DataPointMgr	?NetCacheMgrInit@@YAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Debug	?StartLog@Debug@@QAAXPBD_N@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/EntityUploader	?BuildStringCheckOp@EntityUploader@@QAAHAAPAPAVEntityData@@PBDHPAVTourSavable@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/EntityUploader	?BuildUpdateCharOp@EntityUploader@@QAAHAAPAPAVEntityData@@PAVTourCharLocal@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/EntityUploader	?BuildUpdateSetlistOp@EntityUploader@@QAAHAAPAPAVEntityData@@PAVLocalSavedSetlist@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Env_NG	?NewObject@RndSoftParticleBuffer@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/ExternalMic	?GetMasterForIndex@ExternalMicClientMgr@@SAPAVExternalMicClientProxy@@K@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/FIRFilter	?newInstance@FIRFilter@soundtouch@@SAPAV12@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/FingerShape	??0FingerShape@@QAA@PAVRndDir@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/FreestylePanel	??0FreestylePanel@@QAA@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/FxSendWah	??0?$StandardEffect@VWahEffect@@@@QAA@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/FxSendWah	?CreateFx@FxSendWah360@@MAAPAUIUnknown@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewNetMessage@AccomplishmentEarnedMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewNetMessage@AccomplishmentMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewNetMessage@SetUpMicsMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewNetMessage@SetUserDifficultyMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewNetMessage@SetUserTrackTypeMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewNetMessage@SetlistSubmissionMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewNetMessage@SongResultsScrollMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewNetMessage@TourHideShowFiltersMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewNetMessage@TourMostStarsMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewNetMessage@TourPlayedMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewObject@GemTrainerLoopPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Game	?NewObject@TrainerChallenge@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	2	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/GameConfig	??0GameConfig@@QAA@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/GameMicManager	?CreateMic@GameMicManager@@QAAXH@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/GameMicManager	?Init@GameMicManager@@SAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/GameMode	?GameModeInit@@YAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	3	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/GamePanel	??0GamePanel@@QAA@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/GemTrack	?HandleNewSong@GemTrack@@QAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	2	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/GemTrackDir	?SyncObjects@GemTrackDir@@UAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Gesture	?NewObject@HighFiveGestureFilter@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Graph	?AddSphere@RndGraph@@QAAXABVVector3@@MABVColor@Hmx@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Graph	?AddString@RndGraph@@QAAXPBDABVVector2@@ABVColor@Hmx@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Graph	?Init@RndGraph@@SAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/HeldButtonPanel	??0HeldButtonPanel@@QAA@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Instance	?SyncDir@WorldInstance@@AAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Leaderboard	??0Leaderboard@@QAA@VEntityID@@PAVCallback@0@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MainHubPanel	??0MainHubPanel@@QAA@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MainHubPanel	?Enter@MainHubPanel@@UAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MainHubPanel	?NewNetMessage@MainHubAdvanceMsg@?A0x447fe1d1@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	2	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MasterAudio	??0MasterAudio@@QAA@PAVDataArray@@HPAVBeatMaster@@PAVSongData@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MasterAudio	?SetMapping@TrackData@@QAAXPBD@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MasterAudio	?SetSlippable@ChannelData@@QAAX_N@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	2	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MasterAudio	?SetupTracks@MasterAudio@@QAAXPAVSongInfo@@PAVPlayerTrackConfigList@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	3	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Matchmaker	??0Matchmaker@@QAA@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	2	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MercurySwitchFilter	?NewMercurySwitchFilter@@YAPAVMercurySwitchFilter@@PAVDataArray@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?Load@MetaPanel@@UAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewNetMessage@AppendSongToSetlistMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewNetMessage@BandEventPreviewMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewNetMessage@RemoveLastSongFromSetlistMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewNetMessage@TriggerBackSoundMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewNetMessage@VerifyBuildVersionMsg@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@AccomplishmentPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@BackdropPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@BandPreloadPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@BandStorePanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@CalibrationPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@CampaignCareerLeaderboardPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@CampaignGoalsLeaderboardChoicePanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@CampaignGoalsLeaderboardPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@CampaignSongInfoPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@ClosetPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@ContentDeletePanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@ContentLoadingPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@CreditsPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@CustomizePanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@EditSetlistPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@EventDialogPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@GameTimePanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@HeldButtonPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@InterstitialPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@JoinInvitePanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@MainHubPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@ManageBandPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@MoviePanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@MultiSelectListPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@NewAwardPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@OvershellPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@ParentalControlPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@PassiveMessagesPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@PatchPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@PatchSelectPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@QuestFilterPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@RetryAudioPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@SaveLoadStatusPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/MetaPanel	?NewObject@SelectDifficultyPanel@@SAPAVObject@Hmx@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
