# Retail-byte adjudication of sympair-queue rows. tools/sympair_adjudicate.py (W18).
# A_PROVEN_FOLD          our callee's body IS retail's code there. Alias-only; NOT source-reachable.
#                        `evidence` VACUOUS = <=2 non-relocated words compared: a thunk, near-no evidence.
# B1 callee ABSENT       our callee's code is nowhere in retail -> source divergence, not cheap.
# B2 callee PRESENT unnamed -> identification gap; naming the address adjudicates it.
# D1 ROW_NAME_REFUTED    our call is ENTAILED by the row's own name and retail's is not =>
#                        the ROW's map name is wrong. Proves EXISTENCE, not ASSIGNMENT (W7).
# D2 SOURCE_DEFECT       neither callee entailed => our source chose, and chose wrong. FIXABLE.
# D4 MAP_DEFECT          retail's own name at `at` is not body-confirmed either.
verdict	size	fuzzy	cls	evidence	nwords	unit	symbol	at	target_symbol	our_symbol	found
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		18	default/RockCentral	??1logic_error@stlpmtx_std@@UAA@XZ	0x824f9230			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		3	default/UIListState	??1BinStreamRev@@UAA@XZ	0x827f76b0			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		26	default/Character	??$_Destroy@ULod@Character@@@stlpmtx_std@@YAXPAULod@Character@@@Z	0x823714c8			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		20	default/Character	?uninitialized_copy@stlpmtx_std@@YAPADPBD0PAD@Z	0x82373ec8			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		4	default/band3/meta_band/InterstitialMgr	?HasSyncPermission@InterstitialMgr@@UBA_NXZ	0x825af658			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		20	default/StorePreviewMgr	??1?$list@VString@@V?$StlNodeAlloc@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	0x827b1f00			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		30	default/NetCacheMgr	??$_Destroy@UNetLoaderRef@@@stlpmtx_std@@YAXPAUNetLoaderRef@@@Z	0x827cdbc8			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		20	default/band3/bandtrack/TrackPanel	??$__ucopy_aux@PAPAVTrack@@PAPAV1@@stlpmtx_std@@YAPAPAVTrack@@PAPAV1@00ABU__true_type@0@@Z	0x82814358			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		20	default/CharCollide	??$__ucopy_ptrs@PAHPAH@stlpmtx_std@@YAPAHPAH00ABU__true_type@0@@Z	0x8228d498			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		20	default/MetaPerformer	??$__ucopy_aux@PBQAVBandProfile@@PAPAV1@@stlpmtx_std@@YAPAPAVBandProfile@@PBQAV1@0PAPAV1@ABU__true_type@0@@Z	0x825be2f0			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		20	default/SetlistMergePanel	??$__ucopy_ptrs@PBHPAH@stlpmtx_std@@YAPAHPBH0PAHABU__true_type@0@@Z	0x82535e10			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		17	default/StreamChecksum	JoypadGetUsersPadNum	0x82b8c660			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		20	default/GemManager	??$__ucopy_ptrs@PBQAVTail@@PAPAV1@@stlpmtx_std@@YAPAPAVTail@@PBQAV1@0PAPAV1@ABU__true_type@0@@Z	0x82b9a138			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		20	default/system/synth/VoiceBeat	??$__ucopy_ptrs@PBMPAM@stlpmtx_std@@YAPAMPBM0PAMABU__true_type@0@@Z	0x827182b8			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		20	default/system/bandobj/BandHeadShaper	??$__uninitialized_copy@PAHPAH@stlpmtx_std@@YAPAHPAH00ABU__true_type@0@@Z	0x827bc240			
D1_ROW_NAME_REFUTED	392	99.79592	MIXED/UNKNOWN		43	default/band3/bandtrack/Gem	?_M_fill_insert_aux@?$vector@VMeshAO@OutfitConfig@@V?$StlNodeAlloc@VMeshAO@OutfitConfig@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVMeshAO@OutfitConfig@@IABV34@ABU__false_type@2@@Z	0x823369b8			
D1_ROW_NAME_REFUTED	392	99.79592	MIXED/UNKNOWN		20	default/band3/bandtrack/Gem	?_M_fill_insert_aux@?$vector@VMeshAO@OutfitConfig@@V?$StlNodeAlloc@VMeshAO@OutfitConfig@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVMeshAO@OutfitConfig@@IABV34@ABU__false_type@2@@Z	0x823366a0			
D1_ROW_NAME_REFUTED	332	99.87952	MIXED/UNKNOWN		33	default/PartAnim	??1RndParticleSysAnim@@UAA@XZ	0x8244f898			
D1_ROW_NAME_REFUTED	216	99.81481	MIXED/UNKNOWN		33	default/BandIKEffector	??1BandIKEffector@@UAA@XZ	0x822c2348			
D1_ROW_NAME_REFUTED	188	99.78723	MIXED/UNKNOWN		28	default/UIListDir	??$__introsort_loop@PAPAVUIListWidget@@PAV1@HUWidgetDrawSort@?A0x530db9db@@@stlpmtx_std@@YAXPAPAVUIListWidget@@00HUWidgetDrawSort@?A0x530db9db@@@Z	0x82347530			
D1_ROW_NAME_REFUTED	176	99.77273	MIXED/UNKNOWN		35	default/EventTrigger	??4?$list@UAnim@EventTrigger@@V?$StlNodeAlloc@UAnim@EventTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	0x8249ba10			
D1_ROW_NAME_REFUTED	176	99.77273	MIXED/UNKNOWN		23	default/EventTrigger	??4?$list@UAnim@EventTrigger@@V?$StlNodeAlloc@UAnim@EventTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	0x824a02c8			
D1_ROW_NAME_REFUTED	144	99.86111	MIXED/UNKNOWN		23	default/CharBlendBone	?resize@?$list@UPresetOverride@WorldDir@@V?$StlNodeAlloc@UPresetOverride@WorldDir@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABUPresetOverride@WorldDir@@@Z	0x823c38e8			
D1_ROW_NAME_REFUTED	144	99.72222	MIXED/UNKNOWN		23	default/EventTrigger	?resize@?$list@UAnim@EventTrigger@@V?$StlNodeAlloc@UAnim@EventTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABUAnim@EventTrigger@@@Z	0x824a02c8			
D1_ROW_NAME_REFUTED	144	99.86111	MIXED/UNKNOWN		23	default/BandCamShot	?resize@?$list@UBitmapOverride@WorldDir@@V?$StlNodeAlloc@UBitmapOverride@WorldDir@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABUBitmapOverride@WorldDir@@@Z	0x822b5648			
D1_ROW_NAME_REFUTED	144	99.72222	MIXED/UNKNOWN		23	default/BandCamShot	?resize@?$list@UProxyCall@EventTrigger@@V?$StlNodeAlloc@UProxyCall@EventTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABUProxyCall@EventTrigger@@@Z	0x822b56b8			
D1_ROW_NAME_REFUTED	144	99.72222	MIXED/UNKNOWN		69	default/AccomplishmentPanel	??$__inplace_stable_sort@PAVSymbol@@UGoalAlpaCmp@@@stlpmtx_std@@YAXPAVSymbol@@0UGoalAlpaCmp@@@Z	0x825f45f0			
D1_ROW_NAME_REFUTED	144	99.86111	MIXED/UNKNOWN		69	default/AccomplishmentPanel	??$__inplace_stable_sort@PAVSymbol@@VAccomplishmentCmp@@@stlpmtx_std@@YAXPAVSymbol@@0VAccomplishmentCmp@@@Z	0x825f4948			
D1_ROW_NAME_REFUTED	128	99.84375	MIXED/UNKNOWN		29	default/Sfx	??$Find@VObject@Hmx@@@Synth@@QAAPAVObject@Hmx@@PBD_N@Z	0x822cb380			
D1_ROW_NAME_REFUTED	124	99.83871	MIXED/UNKNOWN		23	default/Character	?resize@?$vector@VSampleMarker@@V?$StlNodeAlloc@VSampleMarker@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVSampleMarker@@@Z	0x822a3178			
D1_ROW_NAME_REFUTED	124	99.67742	MIXED/UNKNOWN		25	default/band3/game/Tracker	?resize@?$vector@VTrackerPlayerDisplay@@V?$StlNodeAlloc@VTrackerPlayerDisplay@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVTrackerPlayerDisplay@@@Z	0x822c7a20			
D1_ROW_NAME_REFUTED	124	99.67742	MIXED/UNKNOWN		14	default/Tour	?GetConclusionText@Tour@@QBA?AVSymbol@@XZ	0x82367f10			
D1_ROW_NAME_REFUTED	112	99.64286	MIXED/UNKNOWN		19	default/band3/meta_band/PrefabMgr	??$sort@PAPAUObjEntry@@UObjSort@@@stlpmtx_std@@YAXPAPAUObjEntry@@0UObjSort@@@Z	0x82554970			
D1_ROW_NAME_REFUTED	112	99.28571	MIXED/UNKNOWN		17	default/AccomplishmentPanel	??RAccomplishmentCategoryCmp@@QBA_NVSymbol@@0@Z	0x82558840			
D1_ROW_NAME_REFUTED	112	99.28571	MIXED/UNKNOWN		17	default/AccomplishmentPanel	??RAccomplishmentGroupCmp@@QBA_NVSymbol@@0@Z	0x825587f8			
D1_ROW_NAME_REFUTED	112	99.64286	MIXED/UNKNOWN		22	default/MessageTimer	??$sort@PAPAUEventEntry@@UMaxSort@@@stlpmtx_std@@YAXPAPAUEventEntry@@0UMaxSort@@@Z	0x82429ac8			
D1_ROW_NAME_REFUTED	112	99.64286	MIXED/UNKNOWN		41	default/MessageTimer	??$sort@PAPAUEventEntry@@UMaxSort@@@stlpmtx_std@@YAXPAPAUEventEntry@@0UMaxSort@@@Z	0x8242c2d8			
D1_ROW_NAME_REFUTED	108	99.81481	MIXED/UNKNOWN		20	default/MemTracker	??$__final_insertion_sort@PAPAVAllocInfo@@P6A_NABQAV1@0@Z@stlpmtx_std@@YAXPAPAVAllocInfo@@0P6A_NABQAV1@1@Z@Z	0x82345330			
D1_ROW_NAME_REFUTED	108	99.81481	MIXED/UNKNOWN		48	default/MoveMgr	??$__make_heap@PAPAVCamShot@@UNameSort@@PAV1@H@stlpmtx_std@@YAXPAPAVCamShot@@0UNameSort@@0PAH@Z	0x822cfd10			
D1_ROW_NAME_REFUTED	108	99.81481	MIXED/UNKNOWN		103	default/SampleData	?_M_fill_insert@?$vector@VSampleMarker@@V?$StlNodeAlloc@VSampleMarker@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVSampleMarker@@IABV3@@Z	0x822a36c0			
D1_ROW_NAME_REFUTED	100	99.8	MIXED/UNKNOWN		48	default/MoveMgr	??$sort_heap@PAPAVCamShot@@UNameSort@@@stlpmtx_std@@YAXPAPAVCamShot@@0UNameSort@@@Z	0x822cfd10			
D1_ROW_NAME_REFUTED	96	99.79166	MIXED/UNKNOWN		20	default/CharLipSync	?erase@?$list@VPlane@@V?$StlNodeAlloc@VPlane@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@VPlane@@U?$_Nonconst_traits@VPlane@@@stlpmtx_std@@@2@U32@0@Z	0x82326d20			
D1_ROW_NAME_REFUTED	92	99.56522	MIXED/UNKNOWN		71	default/HamCamTransform	??4?$ObjVector@UCharInterestState@CharEyes@@@@QAAXABV0@@Z	0x822a3d60			
D1_ROW_NAME_REFUTED	84	99.7619	MIXED/UNKNOWN		42	default/CharServoBone	??E?$ObjDirItr@VCharBone@@@@QAAAAV0@XZ	0x823573f0			
D1_ROW_NAME_REFUTED	84	99.7619	MIXED/UNKNOWN		41	default/LightPreset	??E?$ObjDirItr@VObject@Hmx@@@@QAAAAV0@XZ	0x824ad650			
D1_ROW_NAME_REFUTED	84	99.7619	MIXED/UNKNOWN		17	default/AppLabel	?SetUserName@AppLabel@@QAAXPAVBandTrack@@@Z	0x8234d6c8			
D1_ROW_NAME_REFUTED	80	99.75	MIXED/UNKNOWN		24	default/MemTracker	??$__insertion_sort@PAPAVAllocInfo@@PAV1@P6A_NABQAV1@0@Z@stlpmtx_std@@YAXPAPAVAllocInfo@@00P6A_NABQAV1@1@Z@Z	0x82346eb8			
D1_ROW_NAME_REFUTED	80	99.75	MIXED/UNKNOWN		27	default/AccomplishmentPanel	??$__insertion_sort@PAVSymbol@@V1@UGoalAlpaCmp@@@stlpmtx_std@@YAXPAVSymbol@@00UGoalAlpaCmp@@@Z	0x825faba0			
D1_ROW_NAME_REFUTED	76	99.73684	MIXED/UNKNOWN		33	default/PartLauncher	??_G?$ObjPtr@VRndParticleSys@@@@UAAPAXI@Z	0x8244f898			
D1_ROW_NAME_REFUTED	72	99.72222	MIXED/UNKNOWN		18	default/MeshAnim	??$?5V?$vector@VVector2@@V?$StlNodeAlloc@VVector2@@@stlpmtx_std@@@stlpmtx_std@@@@YAAAVBinStreamRev@@AAV0@AAV?$Key@V?$vector@VVector2@@V?$StlNodeAlloc@VVector2@@@stlpmtx_std@@@stlpmtx_std@@@@@Z	0x8246ea80			
D1_ROW_NAME_REFUTED	60	99.33334	MIXED/UNKNOWN		24	default/BandUser	?SetControllerType@BandUser@@QAAXVSymbol@@@Z	0x8268ba18			
D1_ROW_NAME_REFUTED	60	99.66666	MIXED/UNKNOWN		37	default/BandUser	?SetDifficulty@BandUser@@QAAXVSymbol@@@Z	0x8268bb00			
D1_ROW_NAME_REFUTED	60	99.66666	MIXED/UNKNOWN		21	default/EventTrigger	??$_Copy_Construct@UProxyCall@EventTrigger@@@stlpmtx_std@@YAXPAUProxyCall@EventTrigger@@ABU12@@Z	0x824cc878			
D1_ROW_NAME_REFUTED	52	98.84615	MIXED/UNKNOWN		27	default/CharMeshHide	?Init@Sfx@@SAXXZ	0x823a1c48			
D1_ROW_NAME_REFUTED	52	98.84615	MIXED/UNKNOWN		27	default/CharMeshHide	?Init@CharMeshHide@@SAXXZ	0x8264c828			
D1_ROW_NAME_REFUTED	20	99.0	MIXED/UNKNOWN		71	default/TrackerManager	?HandleGameOver@TrackerManager@@QAAXM@Z	0x826d2710			
D1_ROW_NAME_REFUTED	20	99.0	MIXED/UNKNOWN		42	default/TrackerManager	?HandleRemovePlayer@TrackerManager@@QAAXPAVPlayer@@@Z	0x826d0b00			
D1_ROW_NAME_REFUTED	20	99.0	MIXED/UNKNOWN		42	default/TrackerManager	?OnPlayerQuarantined@TrackerManager@@QAAXPAVPlayer@@@Z	0x826d0c00			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		36	default/TrackPanelDirBase	?PostLoad@TrackPanelDirBase@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z	0x82357008			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		31	default/TrackPanelDirBase	?PreLoad@TrackPanelDirBase@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z	0x82358b58			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		30	default/StarDisplay	?Load@StarDisplay@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z	0x8231e5e8			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		63	default/TourDescPanel	?SetType@TourDescPanel@@$4PPPPPPPM@A@AAXVSymbol@@@Z	0x828094d0			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		63	default/TourDescPanel	?SetType@TexLoadPanel@@$4PPPPPPPM@A@AAXVSymbol@@@Z	0x828076d8			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		37	default/CharIKRod	?Copy@CharIKRod@@$4PPPPPPPM@A@AAXPBVObject@Hmx@@W4CopyType@23@@Z	0x823c5198			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		134	default/CharIKRod	?SyncProperty@CharIKRod@@$4PPPPPPPM@A@AA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	0x823c5568			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		63	default/Part	?SetType@RndParticleSys@@$4PPPPPPPM@A@AAXVSymbol@@@Z	0x8244e948			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		22	default/Part	?Replace@RndParticleSys@@$4PPPPPPPM@A@AAXPAVObjRef@@PAVObject@Hmx@@@Z	0x8244dfc8			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		20	default/system/rndobj/MotionBlur	?Copy@RndMotionBlur@@$4PPPPPPPM@A@AAXPBVObject@Hmx@@W4CopyType@23@@Z	0x82494590			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		71	default/Waypoint	?Load@Waypoint@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z	0x822cae60			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		38	default/PollAnim	?Load@RndPollAnim@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z	0x824881c8			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		42	default/Anim	?Save@RndLine@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z	0x82403880			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		77	default/Line	?Load@RndLine@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z	0x8247a218			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		39	default/system/rndobj/Movie	?Save@RndMovie@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z	0x82479100			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		19	default/LabelShrinkWrapper	?Copy@LabelShrinkWrapper@@$4PPPPPPPM@A@AAXPBVObject@Hmx@@W4CopyType@23@@Z	0x8231c3d8			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		157	default/UIFontImporter	?Load@UIFontImporter@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z	0x828182a8			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		63	default/UIFontImporter	?SetType@UIFontImporter@@$4PPPPPPPM@A@AAXVSymbol@@@Z	0x8281b2a0			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		784	default/UIFontImporter	?SyncProperty@UIFontImporter@@$4PPPPPPPM@A@AA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	0x8281ad00			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		625	default/band3/meta_band/SaveLoadManager	?Handle@SaveLoadManager@@$4PPPPPPPM@A@AA?AVDataNode@@PAVDataArray@@_N@Z	0x82549128			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		11	default/MetaPanel	?ClassName@MetaPanel@@$4PPPPPPPM@A@BA?AVSymbol@@XZ	0x82572c40			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		182	default/MetaPanel	?Handle@MetaPanel@@$4PPPPPPPM@A@AA?AVDataNode@@PAVDataArray@@_N@Z	0x82643518			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		14	default/ScoreDisplay	?Copy@ScoreDisplay@@$4PPPPPPPM@A@AAXPBVObject@Hmx@@W4CopyType@23@@Z	0x8231fb78			
D1_ROW_NAME_REFUTED	12	98.33334	MIXED/UNKNOWN		42	default/ScoreDisplay	?Save@ScoreDisplay@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z	0x8231f6f8			
D1_ROW_NAME_REFUTED	8	97.5	MIXED/UNKNOWN		25	default/system/synth_xbox/FxSendChorus	?Reset@?$StandardEffect@VFlangerEffect@@@@UAAXXZ	0x82bb5950			
D1_ROW_NAME_REFUTED	8	97.5	MIXED/UNKNOWN		34	default/system/synth_xbox/FxSendEQ	?Reset@?$StandardEffect@VEQEffect@@@@UAAXXZ	0x82bb63c8			
D1_ROW_NAME_REFUTED	8	97.5	MIXED/UNKNOWN		3	default/system/synth_xbox/Synth	?Reset@?$StandardEffect@VCompressionEffect@@@@UAAXXZ	0x82bb4e90			
D1_ROW_NAME_REFUTED	8	97.5	MIXED/UNKNOWN		3	default/system/synth_xbox/FxSendDelay	?Reset@?$StandardEffect@VDelayEffect@@@@UAAXXZ	0x82bb5490			
D1_ROW_NAME_REFUTED	8	97.5	MIXED/UNKNOWN		6	default/UIList	?SelectedPos@UIList@@QBAHXZ	0x8280de60			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		29	default/TrackPanelDirBase	??1?$ObjPtr@VObject@Hmx@@@@UAA@XZ	0x82807cb0			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		26	default/BandRetargetVignette	?Enter@BandRetargetVignette@@UAAXXZ	0x822c6c30			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		70	default/VocalTrack	??$__destroy_aux@UMerger@FileMerger@@@stlpmtx_std@@YAXPAUMerger@FileMerger@@ABU__false_type@0@@Z	0x824ac1e0			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		33	default/BandCharacter	??1?$ObjPtr@VBandCharacter@@@@UAA@XZ	0x82283ad0			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		19	default/Task	??$remove_if@UObjMatchPr@@@?$list@PAVObject@Hmx@@V?$StlNodeAlloc@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAAXUObjMatchPr@@@Z	0x827496e8			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		36	default/MeshAnim	??$?5V?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@V?$vector@VVert@RndMesh@@V?$StlNodeAlloc@VVert@RndMesh@@@stlpmtx_std@@@1@@@YAAAVBinStreamRev@@AAV0@AAV?$Keys@V?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@V?$vector@VVert@RndMesh@@V?$StlNodeAlloc@VVert@RndMesh@@@stlpmtx_std@@@2@@@@Z	0x82469528			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		29	default/MeshAnim	??1?$ObjPtr@VRndWind@@@@UAA@XZ	0x8246f2b8			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		25	default/system/obj/Dir	??$_Destroy@UInlinedDir@ObjectDir@@@stlpmtx_std@@YAXPAUInlinedDir@ObjectDir@@@Z	0x8274f188			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		15	default/BandCamShot	??1?$ObjList@UProxyCall@EventTrigger@@@@QAA@XZ	0x822b4bd0			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		15	default/EventTrigger	??1?$ObjList@UAnim@EventTrigger@@@@QAA@XZ	0x824a0228			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		20	default/LightPreset	??$?5MM@@YAAAVBinStreamRev@@AAV0@AAV?$Keys@MM@@@Z	0x824b13c8			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		33	default/UIComponent	??1?$ObjPtr@VUIComponent@@@@UAA@XZ	0x827f4478			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		41	default/CharMeshHide	??1?$ObjVector@VSfxMap@@@@QAA@XZ	0x822d3cb0			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		47	default/HamCamTransform	??$_Destroy@UCharData@WorldCrowd@@@stlpmtx_std@@YAXPAUCharData@WorldCrowd@@@Z	0x822a8970			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		15	default/WaveFile	??1?$ObjList@UMatOverride@WorldDir@@@@QAA@XZ	0x827c15d8			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		32	default/CameraShot	??$_Destroy@VCamShotCrowd@@@stlpmtx_std@@YAXPAVCamShotCrowd@@@Z	0x824c5650			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		39	default/Sfx	??$_Destroy@UNote@MidiChannel@@@stlpmtx_std@@YAXPAUNote@MidiChannel@@@Z	0x8271be30			
D1_ROW_NAME_REFUTED	4	95.0	MIXED/UNKNOWN		33	default/Emitter	??1?$ObjPtr@VRndTransformable@@@@UAA@XZ	0x8271eae0			
