fuzzy	mpn	size	unit	symbol
99.600	100.00	100	default/Interp	?Eval@InvExpInterpolator@@UAAMM@Z
99.597	100.00	248	default/BandCamShot	??4Target@BandCamShot@@QAAAAU01@ABU01@@Z
99.588	100.00	388	default/CharBonesMeshes	?AcquirePose@CharBonesMeshes@@QAAXXZ
99.577	100.00	284	default/band3/bandtrack/Gem	?PartialHit@Gem@@QAAXI@Z
99.571	100.00	280	default/Color	?InterpTangent@@YAXABVVector3@@000MAAV1@@Z
99.524	100.00	420	default/Cache_Xbox	?ThreadWrite@CacheXbox@@IAAHXZ
99.474	100.00	380	default/LabelNumberTicker	?Poll@LabelNumberTicker@@UAAXXZ
99.472	99.98	356	default/BandWardrobe	?OnEnterCloset@BandWardrobe@@QAA?AVDataNode@@PAVDataArray@@@Z
99.444	100.00	144	default/Rnd_Xbox	?GetDXQuery@DxRndOcclusionQueryMgr@@AAAPAUD3DQuery@@I@Z
99.439	99.96	228	default/Rnd_Xbox	?BeginTiling@DxRnd@@AAAXABVColor@Hmx@@MI@Z
99.416	100.00	308	default/CharBonesSamples	?Print@CharBonesSamples@@UAAXXZ
99.412	100.00	136	default/RenderState	?SetTextureClamp@RndRenderState@@QAAXIW4ClampMode@1@@Z
99.400	99.90	160	default/VocalTrackDir	?GetLyricColor@VocalTrackDir@@QBA?AVColor@Hmx@@H@Z
99.375	100.00	128	default/UIListState	?ScrollToTarget@UIListState@@IBAHH@Z
99.348	100.00	276	default/NetLoader	?PollLoading@DataNetLoader@@QAAXXZ
99.318	100.00	176	default/band3/meta_band/StoreMenuPanel	?GetCrumbText@StoreMenuPanel@@QBAPBDXZ
99.310	100.00	116	default/PropAnim	?StartFrame@RndPropAnim@@UAAMXZ
99.289	99.96	180	default/BandLabel	?Count@HamLabel@@UAAXHHMVSymbol@@@Z
99.286	100.00	140	default/Mesh	?BurnXfm@RndMesh@@QAAXXZ
99.259	100.00	324	default/system/ui/UIProxy	?SyncDir@UIProxy@@QAAXXZ
99.256	100.00	484	default/band3/meta_band/PassiveMessenger	?TriggerMessage@PassiveMessenger@@QAAXPAVDataArray@@W4PassiveMessageType@@PAVLocalBandUser@@_NVSymbol@@HHHHHPBD55H@Z
99.231	100.00	104	default/band3/game/Tracker	?RemoteTrackerPlayerDisplay@Tracker@@QAAXPAVPlayer@@HHH@Z
99.231	100.00	104	default/TrackWatcherImpl	?GetNextRoll@TrackWatcherImpl@@UBA_NHAAIAAH@Z
99.227	99.91	176	default/StorePanel	?LoadArt@StorePanel@@UAAXPBDPAVUIPanel@@@Z
99.219	100.00	128	default/TrackWatcherImpl	?IsSwingInRoll@TrackWatcherImpl@@UAA_NHI@Z
99.214	99.93	112	default/BandCharacter	?OnClosetTeleport@BandCharacter@@QAA?AVDataNode@@PAVDataArray@@@Z
99.186	100.00	344	default/GemManager	?SetupRealGuitarAreaStrumSections@GemManager@@QAAXXZ
99.167	100.00	336	default/TrackDir	?SetSlotXfm@TrackDir@@QAAXHABVTransform@@@Z
99.149	100.00	188	default/Trans	?OnCopyLocalTo@RndTransformable@@AAA?AVDataNode@@PBVDataArray@@@Z
99.145	99.15	468	default/TrackDir	??1TrackDir@@UAA@XZ
99.118	99.98	372	default/Geo	?GrowToContain@Sphere@@QAAXABV1@@Z
99.118	100.00	136	default/MasterAudio	?Ignore@MasterAudio@@UAAXHMHABVUserGuid@@@Z
99.111	100.00	180	default/MeshAnim	??4?$list@UInstance@RndMultiMesh@@V?$TransformListAlloc@UInstance@RndMultiMesh@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z
99.081	99.97	496	default/Waypoint	?ShapeDeltaBox@Waypoint@@AAAXABVVector3@@MMAAV2@@Z
99.079	99.21	304	default/Flare	?CalcScale@RndFlare@@IAAXXZ
99.043	100.00	188	default/Cache_Xbox	?ThreadDelete@CacheXbox@@IAAHXZ
99.040	100.00	396	default/MusicLibrary	?SkipToNextShortcut@MusicLibrary@@QAAX_N@Z
98.953	100.00	172	default/TrackConfig	?GetSlotColor@TrackConfig@@QBAPBDH@Z
98.944	98.94	428	default/network/net/NetSession	?Poll@NetSession@@UAAXXZ
98.869	98.97	396	default/Game	?Reset@Game@@QAAXXZ
98.839	100.00	224	default/band3/meta_band/LicenseMgr	?ContentDiscovered@LicenseMgr@@UAA_NVSymbol@@@Z
98.816	100.00	304	default/NextSongPanel	?Poll@NextSongPanel@@UAAXXZ
98.815	99.56	108	default/ByteGrinder	?op61@@YA?AVDataNode@@PAVDataArray@@@Z
98.800	100.00	100	default/keygen_xbox	?getKey@KeyChain@@YAXIPAE0@Z
98.784	100.00	296	default/Geo	?Intersect@@YA_NABVVector3@@0ABVTriangle@@AAM@Z
98.769	99.08	260	default/BandIKEffector	?IKElbow@BandIKEffector@@IAAXABVVector3@@@Z
98.737	98.74	380	default/MetaPerformer	?SyncSave@MetaPerformer@@UBAXAAVBinStream@@I@Z
98.714	99.79	112	default/MeshAnim	?UpdateCache@RndShaderMgr@@QAAXABVTransform@@H@Z
98.537	98.54	164	default/BandSongMgr	?IsDemo@BandSongMgr@@QBA_NH@Z
98.500	100.00	160	default/band3/meta_band/MusicLibraryNetSetlists	??0NetSavedSetlist@@QAA@W4SetlistType@SavedSetlist@@PBD1_N111@Z
98.289	100.00	152	default/RGUtl	?RGGetHeldFretRange@@YA_NABVRGState@@AAH1@Z
98.286	98.29	140	default/DataFunc	?DataSet@@YA?AVDataNode@@PAVDataArray@@@Z
98.281	100.00	128	default/MemHeap	?AttemptMerge@FreeBlock@@QAA_NPAV1@H@Z
98.264	100.00	288	default/ColorXfm	?AdjustSaturation@RndColorXfm@@QAAXXZ
98.261	98.26	460	default/band3/meta_band/SongRecord	??0SongRecord@@QAA@PBVBandSongMetadata@@@Z
98.176	98.76	340	default/Text	?UpdateMesh@RndText@@QAAXPAVRndFont@@@Z
98.125	98.12	128	default/PropAnim	?FindKeys@RndPropAnim@@IAA?AU?$_List_iterator@PAVPropKeys@@U?$_Nonconst_traits@PAVPropKeys@@@stlpmtx_std@@@stlpmtx_std@@PAVObject@Hmx@@PAVDataArray@@@Z
98.125	100.00	256	default/Geo	?Multiply@@YAXABVPlane@@ABVTransform@@AAV1@@Z
98.089	98.64	360	default/system/rnddx9/Rnd	?DrawLine@DxRnd@@UAAXABVVector3@@0ABVColor@Hmx@@_N@Z
98.077	98.72	312	default/MemTrack	?MemTrackHeapDump@@YAX_N@Z
98.069	98.22	408	default/StandardStream	?PollStream@StandardStream@@QAAXXZ
98.049	100.00	164	default/Loader	?SaveData@FileLoader@@SAXAAVBinStream@@PAXH@Z
98.000	100.00	160	default/band3/game/RGTrainerPanel	?MissNotify@RGTrainerPanel@@UAA_NH@Z
98.000	98.56	284	default/BlockMgr	?AddTask@BlockMgr@@QAAXABVAsyncTask@@@Z
97.959	97.96	196	default/FftIpp	??1FftIpp@@QAA@XZ
97.957	98.28	372	default/Geo	??O@YA_NABVSphere@@ABVFrustum@@@Z
97.917	97.96	432	default/Archive	?GetFileInfo@Archive@@QAA_NPBDAAHAA_K11@Z
97.911	98.73	316	default/SpotlightDrawer_NG	?RenderSphere@NgSpotlightDrawer@@IAAXPAVSpotlight@@@Z
97.796	97.85	372	default/BandDirector	?Poll@BandDirector@@UAAXXZ
97.692	98.72	312	default/VocalTrack	?ProcessStaticLyrics@VocalTrack@@QAAX_NPAVLyric@@AAM2AAPAV2@320PAVLyricPlate@@@Z
97.626	97.98	396	default/Crowd	??$PropSync@UCharData@WorldCrowd@@@@YA_NAAV?$ObjList@UCharData@WorldCrowd@@@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
97.615	98.77	364	default/MakeString	?NextBuf@@YAPADXZ
97.568	97.57	296	default/GemPlayer	?LocalSetEnabledState@GemPlayer@@UAAXW4EnabledState@@HPAVBandUser@@_N@Z
97.513	97.73	460	default/Lit_NG	?SetShadowTransforms@NgLight@@IAAXXZ
97.505	99.06	436	default/Mesh	?SkinVertex@RndMesh@@QAA?AVVector3@@ABVVert@1@PAV2@@Z
97.500	97.50	160	default/Faders	??1FaderGroup@@QAA@XZ
97.476	97.60	168	default/band3/game/GemTrainerPanel	?Exit@GemTrainerPanel@@UAAXXZ
97.468	97.47	316	default/VorbisReader	??1VorbisReader@@UAA@XZ
97.463	99.87	216	default/CharEyes	?EnforceMinimumTargetDistance@CharEyes@@IAAXABVVector3@@0AAV2@@Z
97.452	97.81	496	default/CreditsPanel	?Handle@CreditsPanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z
97.320	99.92	100	default/band3/meta_band/StoreOfferProvider	?ClearList@StoreOfferProvider@@QAAXXZ
97.237	100.00	152	default/CharBones	?FindOffset@CharBones@@QBAHVSymbol@@@Z
97.194	98.12	432	default/Geo	?Intersect@@YA_NABVSegment@@ABVTriangle@@_NAAM@Z
97.169	98.80	332	default/CharIKFingers	?MeasureLengths@CharIKFingers@@QAAXXZ
97.143	100.00	112	default/keygen_xbox	?memcpy_cs@@YAXPAEPBEI@Z
97.143	98.90	364	default/Mesh	??5@YAAAVBinStreamRev@@AAV0@AAVVert@RndMesh@@@Z
97.115	100.00	104	default/StatCollector	?CheckKickGem@StatCollector@@QAAXABVGameGem@@H_N@Z
97.111	97.11	360	default/AccomplishmentPanel	?Mat@AccomplishmentProvider@@UBAPAVRndMat@@HHPAVUIListMesh@@@Z
96.912	97.06	136	default/NetworkSocket_Win	?RecvFrom@WinSockSocket@@UAAHPAXIAAIAAG@Z
96.840	98.65	376	default/CharGuitarString	?Poll@CharGuitarString@@UAAXXZ
96.823	96.88	384	default/PanelDir	?PanelNav@PanelDir@@AAA_NW4JoypadAction@@W4JoypadButton@@VSymbol@@@Z
96.721	96.72	244	default/BandWardrobe	?SetVenueDir@BandWardrobe@@QAAXPAVObjectDir@@@Z
96.667	100.00	180	default/keygen_xbox	?shuffle1@@YAXPAD@Z
96.591	100.00	176	default/keygen_xbox	?parseHex16@@YAXPBDPAE@Z
96.559	96.77	372	default/FreestylePanel	?Poll@FreestylePanel@@UAAXXZ
96.552	96.55	232	default/Voice	?Pause@Voice@@QAAX_N@Z
96.517	97.75	356	default/CharEyes	??$PropSync@UEyeDesc@CharEyes@@@@YA_NAAV?$ObjVector@UEyeDesc@CharEyes@@@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
96.483	97.72	356	default/LightPreset	??$PropSync@USpotlightEntry@LightPreset@@@@YA_NAAV?$ObjVector@USpotlightEntry@LightPreset@@@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
96.222	100.00	180	default/keygen_xbox	?shuffle3@@YAXPAD@Z
96.222	100.00	180	default/keygen_xbox	?shuffle4@@YAXPAD@Z
96.200	96.42	460	default/SongSortMgr	?IntersectFilter@SongFilter@SongSortMgr@@QAAXPAV12@@Z
96.066	96.21	424	default/BandLeadMeter	?PreLoad@BandLeadMeter@@UAAXAAVBinStream@@@Z
95.952	100.00	168	default/keygen_xbox	?shuffle5@@YAXPAD@Z
95.952	100.00	168	default/keygen_xbox	?shuffle6@@YAXPAD@Z
95.769	100.00	104	default/mtx	?Det@@YAMABVMatrix3@Hmx@@@Z
95.700	95.70	280	default/Campaign	?HasReachedCampaignLevel@Campaign@@QBA_NVSymbol@@@Z
95.689	98.21	476	default/EQEffect	?Process@EQEffect@@QAAXPAMHH@Z
95.682	96.36	176	default/TypeProps	?GetArray@TypeProps@@QAAPAVDataArray@@VSymbol@@@Z
95.625	95.83	192	default/TrackPanelDir	?PostLoad@TrackPanelDir@@UAAXAAVBinStream@@@Z
95.610	100.00	164	default/keygen_xbox	?shuffle2@@YAXPAD@Z
95.604	95.60	364	default/Lit	?Copy@RndLight@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
95.588	95.69	204	default/MasterAudio	?SeeGem@MasterAudio@@UAAXHMH@Z
95.556	100.00	144	default/keygen_xbox	?asciiDigitToHex@@YAED@Z
95.556	95.56	180	default/PostProc_NG	?DoVelocity@NgPostProc@@IAAXXZ
95.537	96.07	492	default/BandPatchMesh	?AddUV@MeshVert@BandPatchMesh@@QAAHPBV12@ABVVector2@@PBV3@@Z
95.357	95.36	224	default/Rnd_Xbox	?Present@DxRnd@@QAAXXZ
95.349	95.35	344	default/FilterCoeffs	?LowpassCoefficients@DSP@@YAXQAMMMM@Z
95.345	95.70	336	default/Character	?Save@Character@@UAAXAAVBinStream@@@Z
95.190	96.78	252	default/Mesh	?Add@PatchVerts@@QAAXHAAVVertVector@RndMesh@@AAVVector3@@@Z
95.172	95.17	232	default/PostProc	?SetEmulateFPS@ProcCounter@@AAAIH@Z
95.000	96.30	216	default/band3/meta_band/AccomplishmentManager	?GetScaledFanValue@AccomplishmentManager@@QAAHH@Z
94.976	95.04	340	default/InlineHelp	??1InlineHelp@@UAA@XZ
94.941	95.76	340	default/PropKeys	?Load@PropKeys@@UAAXAAVBinStreamRev@@@Z
94.900	95.00	400	default/Campaign	??0Campaign@@QAA@PAVDataArray@@@Z
94.877	96.88	260	default/Rot	?Set@Quat@Hmx@@QAAXABVVector3@@@Z
94.767	95.12	344	default/Bitmap	?ConvertColor@RndBitmap@@ABAXPBEAAE111@Z
94.659	99.78	164	default/Mesh	?TransformNormal@@YA?AVVector3@@ABV1@ABVMatrix3@Hmx@@@Z
94.627	94.63	268	default/MusicLibraryStore	??0MusicLibraryStore@@QAA@XZ
94.598	94.66	348	default/StarDisplay	?PreLoad@StarDisplay@@UAAXAAVBinStream@@@Z
94.514	94.58	296	default/DataFunc	?DataStringFlags@@YA?AVDataNode@@PAVDataArray@@@Z
94.412	94.46	408	default/TexBlendController	?GetBlendState@RndTexBlendController@@QBA?AW4BlendState@1@AAMM@Z
94.370	97.30	184	default/AmbientOcclusion	?TransformNormal@RndAmbientOcclusion@@IBAXABVVector3@@ABVMatrix3@Hmx@@AAV2@@Z
94.338	96.31	284	default/Bitmap	?NearestColor@RndBitmap@@ABAEEEEE@Z
94.333	100.00	120	default/keygen_xbox	?mash@@YAXPAE0@Z
94.265	99.78	196	default/Rot	?MakeScale@@YAXABVMatrix3@Hmx@@AAVVector3@@@Z
94.138	94.31	116	default/BandLabel	?Copy@BandLabel@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
94.107	94.29	112	default/SpotlightDrawer	?Init@SpotlightDrawer@@SAXXZ
94.028	94.44	144	default/SongData	?AddPhrase@SongData@@UAAXW4BeatmatchPhraseType@@HHMHMH@Z
93.931	94.45	116	default/JoypadClient	?Poll@JoypadClient@@AAAXXZ
93.692	93.77	260	default/system/bandobj/UnisonIcon	?SyncProperty@UnisonIcon@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
93.691	94.15	220	default/ContextWrapper	?FailAllContexts@ContextWrapperPool@@QAAXXZ
93.636	94.00	440	default/PitchArrow	?PreLoad@PitchArrow@@UAAXAAVBinStream@@@Z
93.587	93.63	416	default/Env	??0RndEnviron@@IAA@XZ
93.548	93.55	124	default/system/rndobj/Rnd	?OnToggleHeap@Rnd@@IAA?AVDataNode@@PBVDataArray@@@Z
93.527	95.18	448	default/GemTrack	?DrawBeatLines@GemTrack@@QAAXHH@Z
93.488	95.12	172	default/LayerDir	?PostLoad@LayerDir@@UAAXAAVBinStream@@@Z
93.415	93.66	164	default/CharData	?LoadPortrait@PrefabChar@@QAAXXZ
93.333	93.33	120	default/SynapseAPO	??0SynapseAPO@DSP@@QAA@XZ
93.319	93.45	476	default/CharFaceServo	??0CharFaceServo@@IAA@XZ
93.306	93.55	248	default/Loader	?PollUntilLoaded@LoadMgr@@QAAXPAVLoader@@0@Z
93.250	94.00	240	default/DirLoader	?HandleProperty@Object@Hmx@@QAA?AVDataNode@@PAVDataArray@@0_N@Z
93.189	93.91	360	default/TourDescPanel	?LoadIcons@TourDescPanel@@QAAXXZ
93.094	93.41	128	default/Screenshot	?Copy@Screenshot@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
93.063	93.30	252	default/Memcard_Xbox	?ShowDeviceSelector@MemcardXbox@@UAAXABUContainerId@@_NPAVObject@Hmx@@H@Z
92.941	92.94	204	default/MusicLibraryStore	?ClearPreview@MusicLibraryStore@@QAAXXZ
92.915	93.85	236	default/Part	?SetPersistentPool@RndParticleSys@@UAAXHW4Type@1@@Z
92.767	93.04	292	default/Rnd_Xbox	?SetDefaultRenderStates@DxRnd@@QAAXXZ
92.746	92.96	284	default/VocalPlayer	?LocalEndgameEnergy@VocalPlayer@@QAAXH@Z
92.643	92.82	112	default/CrowdAudio	??0?$ObjPtr@VObjectDir@@@@QAA@PAVObject@Hmx@@PAVObjectDir@@@Z
92.643	92.82	112	default/CrowdMeterIcon	??0?$ObjPtr@VRndAnimatable@@@@QAA@PAVObject@Hmx@@PAVRndAnimatable@@@Z
92.640	93.15	356	default/BandLeadMeter	?PostLoad@BandLeadMeter@@UAAXAAVBinStream@@@Z
92.638	93.17	188	default/FftIpp	?FftReal@FftIpp@@QAAXPIBMPIAM1@Z
92.607	92.79	112	default/FlowValueCase	?Save@FlowValueCase@@UAAXAAVBinStream@@@Z
92.593	92.59	108	default/LightPreset	?ApplyState@LightPreset@@IAAXABUKeyframe@1@@Z
92.464	92.82	112	default/BandCharacter	?AddOverlays@BandCharacter@@UAAXAAVBandPatchMesh@@@Z
92.461	92.63	460	default/Mesh	?SaveVertices@RndMesh@@UAAXAAVBinStream@@@Z
92.458	93.81	236	default/ExternalMic	?dataReady@ExternalMic@@QAAXKKPAU_XOVERLAPPED@@@Z
92.093	94.41	216	default/Morph	?InterpWeight@RndMorph@@QAAMABV?$Keys@MM@@M@Z
92.060	93.10	268	default/Tex	?SetBitmap@RndTex@@QAAXABVRndBitmap@@PBD_NW4Type@1@@Z
92.009	93.46	428	default/LightPresetManager	?Poll@LightPresetManager@@QAAXXZ
