class	swap_pair	retail_addr	size	sites	row_bytes	retail_S	ours_F	why
REFUTED_different_string_literal		0x8251bb00	88	1	136	?Type@UIChangedMsg@@SA?AVSymbol@@XZ	?Type@LeftHandListEngagementMsg@@SA?AVSymbol@@XZ	retail interns 'ui_changed' where we intern 'left_hand_list_engagement' -- each body interns its OWN literal, so they cannot be one COMDAT
REFUTED_different_string_literal		0x82271a90	88	1	128	?StaticClassName@Object@Hmx@@SA?AVSymbol@@XZ	?StaticClassName@Flow@@SA?AVSymbol@@XZ	retail interns 'Object' where we intern 'Flow' -- each body interns its OWN literal, so they cannot be one COMDAT
REFUTED_retail_keeps_two_addresses	YES	0x827255f0	216	2	2084	?getRandomSequence32B@@YA?AVDataNode@@PAVDataArray@@@Z	?getRandomSequence32A@@YA?AVDataNode@@PAVDataArray@@@Z	map places F at 0x827256c8 and S at 0x827255f0 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x827256c8	216	2	2084	?getRandomSequence32A@@YA?AVDataNode@@PAVDataArray@@@Z	?getRandomSequence32B@@YA?AVDataNode@@PAVDataArray@@@Z	map places F at 0x827255f0 and S at 0x827256c8 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x82684fb8	12	4	1044	?GetNumOverdrivePhrases@SongDB@@QBAHH@Z	?IsUnisonPhrase@SongDB@@QBA_NH@Z	map places F at 0x82684fc8 and S at 0x82684fb8 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x82517020	56	2	520	?OnSynchProc@@YA?AVDataNode@@PAVDataArray@@@Z	?OnFileExecRoot@@YA?AVDataNode@@PAVDataArray@@@Z	map places F at 0x825173a0 and S at 0x82517020 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x825173a0	56	2	520	?OnFileExecRoot@@YA?AVDataNode@@PAVDataArray@@@Z	?OnSynchProc@@YA?AVDataNode@@PAVDataArray@@@Z	map places F at 0x82517020 and S at 0x825173a0 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x82684fc8	12	1	468	?IsUnisonPhrase@SongDB@@QBA_NH@Z	?GetNumOverdrivePhrases@SongDB@@QBAHH@Z	map places F at 0x82684fb8 and S at 0x82684fc8 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8236a928	88	1	316	?StaticClassName@CharTransDraw@@SA?AVSymbol@@XZ	?StaticClassName@CharBlendBone@@SA?AVSymbol@@XZ	map places F at 0x8236a528 and S at 0x8236a928 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x82329b20	88	1	316	?StaticClassName@DialogDisplay@@SA?AVSymbol@@XZ	?StaticClassName@CharUpperTwist@@SA?AVSymbol@@XZ	map places F at 0x8236a828 and S at 0x82329b20 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x82739288	88	1	316	?StaticClassName@DxMovie@@SA?AVSymbol@@XZ	?StaticClassName@DxMultiMesh@@SA?AVSymbol@@XZ	map places F at 0x8273f110 and S at 0x82739288 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x8273f110	88	1	316	?StaticClassName@DxMultiMesh@@SA?AVSymbol@@XZ	?StaticClassName@DxMovie@@SA?AVSymbol@@XZ	map places F at 0x82739288 and S at 0x8273f110 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8236aba8	88	1	316	?StaticClassName@CharNeckTwist@@SA?AVSymbol@@XZ	?StaticClassName@RndPropAnim@@SA?AVSymbol@@XZ	map places F at 0x8228c9b8 and S at 0x8236aba8 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8241bc78	84	1	292	??$__destroy_mv_srcs@PAV?$vector@GV?$StlNodeAlloc@G@stlpmtx_std@@@stlpmtx_std@@V12@@stlpmtx_std@@YAXPAV?$vector@GV?$StlNodeAlloc@G@stlpmtx_std@@@0@00@Z	??$__destroy_range@PAV?$vector@GV?$StlNodeAlloc@G@stlpmtx_std@@@stlpmtx_std@@V12@@stlpmtx_std@@YAXPAV?$vector@GV?$StlNodeAlloc@G@stlpmtx_std@@@0@00@Z	map places F at 0x82bb3578 and S at 0x8241bc78 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x823e0da8	88	1	164	?Type@RemoteUserUpdatedMsg@@SA?AVSymbol@@XZ	?Type@RemovingRemoteUserMsg@@SA?AVSymbol@@XZ	map places F at 0x823e0ca8 and S at 0x823e0da8 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x823e0ca8	88	1	164	?Type@RemovingRemoteUserMsg@@SA?AVSymbol@@XZ	?Type@RemoteUserUpdatedMsg@@SA?AVSymbol@@XZ	map places F at 0x823e0da8 and S at 0x823e0ca8 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8252e930	88	1	164	?Type@RGSwingMsg@@SA?AVSymbol@@XZ	?Type@SigninChangedMsg@@SA?AVSymbol@@XZ	map places F at 0x823ec538 and S at 0x8252e930 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x823ec538	88	1	164	?Type@SigninChangedMsg@@SA?AVSymbol@@XZ	?Type@RGConnectedAccessoriesMsg@@SA?AVSymbol@@XZ	map places F at 0x8252e6b0 and S at 0x823ec538 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8252e6b0	88	1	164	?Type@RGConnectedAccessoriesMsg@@SA?AVSymbol@@XZ	?Type@RGPitchBendMsg@@SA?AVSymbol@@XZ	map places F at 0x8252e730 and S at 0x8252e6b0 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8252e730	88	1	164	?Type@RGPitchBendMsg@@SA?AVSymbol@@XZ	?Type@RGMutingMsg@@SA?AVSymbol@@XZ	map places F at 0x8252e7b0 and S at 0x8252e730 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8252e7b0	88	1	164	?Type@RGMutingMsg@@SA?AVSymbol@@XZ	?Type@RGProgramChangeMsg@@SA?AVSymbol@@XZ	map places F at 0x8252e8b0 and S at 0x8252e7b0 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8252e8b0	88	1	164	?Type@RGProgramChangeMsg@@SA?AVSymbol@@XZ	?Type@RGSwingMsg@@SA?AVSymbol@@XZ	map places F at 0x8252e930 and S at 0x8252e8b0 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8252fc70	88	1	164	?Type@KeyboardHighHandPlacementMsg@@SA?AVSymbol@@XZ	?Type@KeyboardKeyReleasedMsg@@SA?AVSymbol@@XZ	map places F at 0x8252f870 and S at 0x8252fc70 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8252f870	88	1	164	?Type@KeyboardKeyReleasedMsg@@SA?AVSymbol@@XZ	?Type@KeyboardModMsg@@SA?AVSymbol@@XZ	map places F at 0x8252f8f0 and S at 0x8252f870 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8252f8f0	88	1	164	?Type@KeyboardModMsg@@SA?AVSymbol@@XZ	?Type@KeyboardExpressionPedalMsg@@SA?AVSymbol@@XZ	map places F at 0x8252f970 and S at 0x8252f8f0 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8252f970	88	1	164	?Type@KeyboardExpressionPedalMsg@@SA?AVSymbol@@XZ	?Type@KeyboardConnectedAccessoriesMsg@@SA?AVSymbol@@XZ	map places F at 0x8252f9f0 and S at 0x8252f970 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8252f9f0	88	1	164	?Type@KeyboardConnectedAccessoriesMsg@@SA?AVSymbol@@XZ	?Type@KeyboardLowHandPlacementMsg@@SA?AVSymbol@@XZ	map places F at 0x8252fbf0 and S at 0x8252f9f0 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8252fbf0	88	1	164	?Type@KeyboardLowHandPlacementMsg@@SA?AVSymbol@@XZ	?Type@KeyboardHighHandPlacementMsg@@SA?AVSymbol@@XZ	map places F at 0x8252fc70 and S at 0x8252fbf0 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8251b880	88	1	164	?Type@ProfileSwappedMsg@@SA?AVSymbol@@XZ	?Type@UITransitionCompleteMsg@@SA?AVSymbol@@XZ	map places F at 0x825364e0 and S at 0x8251b880 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x8234dd18	20	1	140	?UnisonEnd@BandTrack@@QAAXXZ	?UnisonStart@BandTrack@@QAAXXZ	map places F at 0x8234dd30 and S at 0x8234dd18 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x8234dd30	20	1	140	?UnisonStart@BandTrack@@QAAXXZ	?UnisonEnd@BandTrack@@QAAXXZ	map places F at 0x8234dd18 and S at 0x8234dd30 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x823e0928	88	1	136	?Type@SessionReadyMsg@@SA?AVSymbol@@XZ	?Type@ProcessedJoinRequestMsg@@SA?AVSymbol@@XZ	map places F at 0x823e0a28 and S at 0x823e0928 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8253a920	88	1	132	?Type@RemoteMachineLeftMsg@@SA?AVSymbol@@XZ	?Type@NewRemoteMachineMsg@@SA?AVSymbol@@XZ	map places F at 0x825c1e30 and S at 0x8253a920 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x824f64d0	88	1	132	?Type@FriendsListChangedMsg@@SA?AVSymbol@@XZ	?Type@MCResultMsg@@SA?AVSymbol@@XZ	map places F at 0x8254be10 and S at 0x824f64d0 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8251ba00	88	1	132	?Type@XMPStateChangedMsg@@SA?AVSymbol@@XZ	?Type@ServerStatusChangedMsg@@SA?AVSymbol@@XZ	map places F at 0x823ec318 and S at 0x8251ba00 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x82319950	88	1	112	?StaticClassName@MiniLeaderboardDisplay@@SA?AVSymbol@@XZ	?StaticClassName@UIComponent@@SA?AVSymbol@@XZ	map places F at 0x827fe250 and S at 0x82319950 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8231c150	88	1	112	?StaticClassName@StarDisplay@@SA?AVSymbol@@XZ	?StaticClassName@UIComponent@@SA?AVSymbol@@XZ	map places F at 0x827fe250 and S at 0x8231c150 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x8242aa58	112	1	76	??1BoolKeys@@UAA@XZ	??1FloatKeys@@UAA@XZ	map places F at 0x8242b2a0 and S at 0x8242aa58 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses	YES	0x8242b2a0	112	1	76	??1FloatKeys@@UAA@XZ	??1BoolKeys@@UAA@XZ	map places F at 0x8242aa58 and S at 0x8242b2a0 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8227c8f0	88	1	52	?StaticClassName@BandCharacter@@SA?AVSymbol@@XZ	?StaticClassName@BandCamShot@@SA?AVSymbol@@XZ	map places F at 0x8227a1a8 and S at 0x8227c8f0 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x82793108	92	1	52	?Finalize@GameGemDB@@QAAXXZ	?MergeChordGems@GameGemDB@@QAAXXZ	map places F at 0x82793168 and S at 0x82793108 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x8264bce8	88	1	52	?StaticClassName@AppMiniLeaderboardDisplay@@SA?AVSymbol@@XZ	?StaticClassName@CharMeshHide@@SA?AVSymbol@@XZ	map places F at 0x823a0680 and S at 0x8264bce8 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
REFUTED_retail_keeps_two_addresses		0x823a0680	88	1	52	?StaticClassName@CharMeshHide@@SA?AVSymbol@@XZ	?StaticClassName@Sfx@@SA?AVSymbol@@XZ	map places F at 0x826b1c88 and S at 0x823a0680 -- retail kept TWO addresses, which is the definition of NOT folded; aliasing would forgive a wrong callee
UNDECIDED_unresolvable_slot		0x82510040	16	4	3980	?SystemLocale@@YA?AVSymbol@@XZ	?SystemLanguage@@YA?AVSymbol@@XZ	relocation target unresolvable on BOTH sides (neither map-resident nor a readable literal); needs a channel this lane does not have
UNDECIDED_unresolvable_slot		0x827e5c48	4	4	424	??1?$_List_base@PAVMidiParser@@V?$StlNodeAlloc@PAVMidiParser@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	??1?$list@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	relocation target unresolvable on BOTH sides (neither map-resident nor a readable literal); needs a channel this lane does not have
UNDECIDED_unresolvable_slot		0x826fb880	4	1	224	??$_Destroy_Moved@V?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@@stlpmtx_std@@YAXPAV?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@0@@Z	?PostDynamicAdd@TambourineManager@@QAAXXZ	relocation target unresolvable on BOTH sides (neither map-resident nor a readable literal); needs a channel this lane does not have
UNDECIDED_unresolvable_slot		0x827b16c8	4	2	176	??1?$_List_base@PBDV?$StlNodeAlloc@PBD@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	?MetaTerminate@@YAXXZ	relocation target unresolvable on BOTH sides (neither map-resident nor a readable literal); needs a channel this lane does not have
