solo_closable_B	solo_rows	sites	class	retail_masked_dupes	retail_S	ours_F	why
112	1	1	REFUTED_recursive_relocation	1	??$__introsort_loop@PAVCategory@CameraManager@@V12@HU?$less@VCategory@CameraManager@@@stlpmtx_std@@@stlpmtx_std@@YAXPAVCategory@CameraManager@@00HU?$less@VCategory@CameraManager@@@0@@Z	??$__introsort_loop@PAVSpotlightEntry@SpotlightDrawer@@V12@HVByColor@@@stlpmtx_std@@YAXPAVSpotlightEntry@SpotlightDrawer@@00HVByColor@@@Z	1 relocation slot(s) resolve to different retail bodies
108	1	1	FOLD_PROVEN_installed	1	?_M_fill_insert_aux@?$vector@PAVRndDrawable@@V?$StlNodeAlloc@PAVRndDrawable@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAPAVRndDrawable@@IABQAV3@ABU__false_type@2@@Z	?_M_fill_insert_aux@?$vector@PAVObject@Hmx@@V?$StlNodeAlloc@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAPAVObject@Hmx@@IABQAV34@ABU__false_type@2@@Z	installed on >=2 independent channels
108	1	1	REFUTED_residency	9	??1BitmapOverride@WorldDir@@QAA@XZ	??1EventCall@EventAnim@@QAA@XZ	retail keeps addr(F)=0x822b1240 != addr(S)=0x824cb350; two addresses is the definition of not folded; keeps the wrong-callee reading
104	1	2	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@HVSymbol@@U?$hash@H@stlpmtx_std@@U?$equal_to@H@3@V?$StlNodeAlloc@U?$pair@$$CBHVSymbol@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
100	1	1	REFUTED_shape_not_unique	7	??1?$vector@V?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@V?$StlNodeAlloc@V?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@@2@@stlpmtx_std@@QAA@XZ	??1?$vector@V?$set@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@VSymbol@@@3@@stlpmtx_std@@V?$StlNodeAlloc@V?$set@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@VSymbol@@@3@@stlpmtx_std@@@2@@stlpmtx_std@@QAA@XZ	retail holds 7 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
92	1	1	REFUTED_recursive_relocation	3	??4?$vector@UBone@CharBones@@V?$StlNodeAlloc@UBone@CharBones@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@U?$pair@HM@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@HM@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAV01@ABV01@@Z	1 relocation slot(s) resolve to different retail bodies
84	1	1	REFUTED_residency	39	?Advance@?$ObjDirItr@VRndGroup@@@@AAAXXZ	?Advance@?$ObjDirItr@VSynthSample@@@@AAAXXZ	retail keeps addr(F)=0x826fe2d0 != addr(S)=0x8243db18; two addresses is the definition of not folded; keeps the wrong-callee reading
84	1	1	REFUTED_residency	39	?Advance@?$ObjDirItr@VRndPollable@@@@AAAXXZ	?Advance@?$ObjDirItr@VRndAnimatable@@@@AAAXXZ	retail keeps addr(F)=0x82403d50 != addr(S)=0x82403e28; two addresses is the definition of not folded; keeps the wrong-callee reading
84	1	1	REFUTED_residency	39	?Advance@?$ObjDirItr@VRndAnimatable@@@@AAAXXZ	?Advance@?$ObjDirItr@VRndPollable@@@@AAAXXZ	retail keeps addr(F)=0x82403e28 != addr(S)=0x82403d50; two addresses is the definition of not folded; keeps the wrong-callee reading
84	1	1	REFUTED_residency	48	?insert@?$list@UInstance@RndMultiMesh@@V?$TransformListAlloc@UInstance@RndMultiMesh@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UInstance@RndMultiMesh@@U?$_Nonconst_traits@UInstance@RndMultiMesh@@@stlpmtx_std@@@2@U32@ABUInstance@RndMultiMesh@@@Z	?insert@?$list@UInstance@RndMultiMesh@@V?$StlNodeAlloc@UInstance@RndMultiMesh@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UInstance@RndMultiMesh@@U?$_Nonconst_traits@UInstance@RndMultiMesh@@@stlpmtx_std@@@2@U32@ABUInstance@RndMultiMesh@@@Z	retail keeps addr(F)=0x824e0f00 != addr(S)=0x8241ab98; two addresses is the definition of not folded; keeps the wrong-callee reading
84	1	1	REFUTED_shape_not_unique	39	?Advance@?$ObjDirItr@VBandList@@@@AAAXXZ	?Advance@?$ObjDirItr@VCharClipGroup@@@@AAAXXZ	retail holds 39 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
84	1	1	REFUTED_shape_not_unique	39	?Advance@?$ObjDirItr@VRndMesh@@@@AAAXXZ	?Advance@?$ObjDirItr@VPanelDir@@@@AAAXXZ	retail holds 39 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
68	1	1	REFUTED_residency	1	?resize@?$vector@UDynamicPropertyEntry@Flow@@V?$StlNodeAlloc@UDynamicPropertyEntry@Flow@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABUDynamicPropertyEntry@Flow@@@Z	?resize@?$vector@VStrand@CharHair@@V?$StlNodeAlloc@VStrand@CharHair@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVStrand@CharHair@@@Z	retail keeps addr(F)=0x82715c00 != addr(S)=0x823ab598; two addresses is the definition of not folded; keeps the wrong-callee reading
28	1	1	REFUTED_recursive_relocation	1	??$TrimExcess@UTempoInfoPoint@MultiTempoTempoMap@@@@YAXAAV?$vector@UTempoInfoPoint@MultiTempoTempoMap@@V?$StlNodeAlloc@UTempoInfoPoint@MultiTempoTempoMap@@@stlpmtx_std@@@stlpmtx_std@@@Z	??$TrimExcess@UCompEv@DataEventList@@@@YAXAAV?$vector@UCompEv@DataEventList@@V?$StlNodeAlloc@UCompEv@DataEventList@@@stlpmtx_std@@@stlpmtx_std@@@Z	1 relocation slot(s) resolve to different retail bodies
16	1	1	FOLD_PROVEN_installed	1	??4?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@PAVRemoteBandUser@@V?$StlNodeAlloc@PAVRemoteBandUser@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	installed on >=2 independent channels
12	1	1	REFUTED_recursive_relocation	1	?Copy@BandDirector@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z	?Replace@BandDirector@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z	2 relocation slot(s) resolve to different retail bodies
12	1	1	REFUTED_recursive_relocation	337	?ClassName@DxMultiMesh@@UBA?AVSymbol@@XZ	?ClassName@AppLabel@@UBA?AVSymbol@@XZ	1 relocation slot(s) resolve to different retail bodies
