verdict	delta	rep	size	fuzzy	mpn	labels	addr	blockdist	unit	sym	why
MAP_ICF_FOLD_ALIAS	-24	3	328	99.963	99.96342	OTHER_ptr	0x822d8d78	0x3bb48	default/InlineHelp	?_M_insert_overflow_aux@?$vector@UActionElement@InlineHelp@@V?$StlNodeAlloc@UActionElement@InlineHelp@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUActionElement@InlineHelp@@ABU34@ABU__false_type@2@I_N@Z	retail addr 0x822d8d78 sits 0x3bb48 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	-16	2	128	99.938	99.9375	OTHER_ptr|STACK_frameptr	0x822a6028	0xc72a0	default/Character	?resize@?$vector@ULod@Character@@V?$StlNodeAlloc@ULod@Character@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABULod@Character@@@Z	retail addr 0x822a6028 sits 0xc72a0 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	24	2	128	99.938	99.9375	OTHER_ptr|STACK_frameptr	0x822a9af0	0x146f4c	default/SongLayout	?resize@?$vector@VSongPattern@@V?$StlNodeAlloc@VSongPattern@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVSongPattern@@@Z	retail addr 0x822a9af0 sits 0x146f4c outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	-52	2	128	99.938	99.9375	OTHER_ptr|STACK_frameptr	0x82715c00	0x36a120	default/CharHair	?resize@?$vector@VStrand@CharHair@@V?$StlNodeAlloc@VStrand@CharHair@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVStrand@CharHair@@@Z	retail addr 0x82715c00 sits 0x36a120 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	-52	5	112	99.821	99.82143	OBJECT_this|OTHER_ptr	0x8276fa80	0x4cd8e0	default/Spline	?_M_erase@?$vector@VCtrlPoint@RndSpline@@V?$StlNodeAlloc@VCtrlPoint@RndSpline@@@stlpmtx_std@@@stlpmtx_std@@IAAPAVCtrlPoint@RndSpline@@PAV34@ABU__false_type@2@@Z	retail addr 0x8276fa80 sits 0x4cd8e0 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	16	4	108	99.852	99.85185	OBJECT_this	0x82738a48	0x41c8f8	default/MeterDisplay	??_DMeterDisplay@@QAAXXZ	retail addr 0x82738a48 sits 0x41c8f8 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	-4	2	100	99.92	99.92	OTHER_ptr	0x827ebad0	0x37a358	default/MeshAnim	??$__destroy_range_aux@V?$reverse_iterator@PAV?$Key@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@@@@stlpmtx_std@@@stlpmtx_std@@YAXV?$reverse_iterator@PAV?$Key@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@@@@0@0ABU__false_type@0@@Z	retail addr 0x827ebad0 sits 0x37a358 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	8	2	100	99.92	99.92	OTHER_ptr	0x822a0fa0	0x1af58	default/HamNavProvider	??$?6UNavItem@HamNavProvider@@V?$StlNodeAlloc@UNavItem@HamNavProvider@@@stlpmtx_std@@@@YAAAVBinStream@@AAV0@ABV?$vector@UNavItem@HamNavProvider@@V?$StlNodeAlloc@UNavItem@HamNavProvider@@@stlpmtx_std@@@stlpmtx_std@@@Z	retail addr 0x822a0fa0 sits 0x1af58 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	-52	2	100	99.92	99.92	OTHER_ptr	0x827149d8	0x368ef8	default/CharHair	?_M_erase@?$vector@VStrand@CharHair@@V?$StlNodeAlloc@VStrand@CharHair@@@stlpmtx_std@@@stlpmtx_std@@IAAPAVStrand@CharHair@@PAV34@0ABU__false_type@2@@Z	retail addr 0x827149d8 sits 0x368ef8 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	-8	2	96	99.917	99.916664	OBJECT_this|OTHER_ptr	0x822c78f8	0x1a1c88	default/MeshAnim	??$__uninitialized_copy@PBV?$Key@V?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@@@PAV1@@stlpmtx_std@@YAPAV?$Key@V?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@@@PBV1@0PAV1@ABU__false_type@0@@Z	retail addr 0x822c78f8 sits 0x1a1c88 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	-8	2	96	99.917	99.916664	OTHER_ptr	0x824c46b8	0x218aa8	default/HamCamTransform	??$__destroy_range_aux@V?$reverse_iterator@PAUNavItem@HamNavProvider@@@stlpmtx_std@@@stlpmtx_std@@YAXV?$reverse_iterator@PAUNavItem@HamNavProvider@@@0@0ABU__false_type@0@@Z	retail addr 0x824c46b8 sits 0x218aa8 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	4	2	96	99.917	99.916664	OBJECT_this|OTHER_ptr	0x82348b28	0x10d738	default/SkeletonClip	??$__uninitialized_copy@PBUMoveRating@SkeletonClip@@PAU12@@stlpmtx_std@@YAPAUMoveRating@SkeletonClip@@PBU12@0PAU12@ABU__false_type@0@@Z	retail addr 0x82348b28 sits 0x10d738 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	-12	2	96	99.917	99.916664	OBJECT_this|OTHER_ptr	0x82424d18	0x5cb80	default/PracticeSection	??$__uninitialized_copy@PBVPracticeStep@@PAV1@@stlpmtx_std@@YAPAVPracticeStep@@PBV1@0PAV1@ABU__false_type@0@@Z	retail addr 0x82424d18 sits 0x5cb80 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	4	2	96	99.917	99.916664	OBJECT_this|OTHER_ptr	0x825584d8	0x27a998	default/WaveFile	??$__uninitialized_copy@PAVWaveFileMarker@@PAV1@@stlpmtx_std@@YAPAVWaveFileMarker@@PAV1@00ABU__false_type@0@@Z	retail addr 0x825584d8 sits 0x27a998 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	-8	2	96	99.917	99.916664	OTHER_ptr	0x823873f8	0x21c258	default/OriginalChoreoRemixer	??$__destroy_range_aux@V?$reverse_iterator@PAV?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@YAXV?$reverse_iterator@PAV?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@stlpmtx_std@@@0@0ABU__false_type@0@@Z	retail addr 0x823873f8 sits 0x21c258 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	8	2	84	99.905	99.90476	OBJECT_this	0x8261feb8	0x28f98	default/CampaignSongInfoPanel	?Unload@CampaignSongInfoPanel@@UAAXXZ	retail addr 0x8261feb8 sits 0x28f98 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	4	2	60	99.867	99.86667	OBJECT_this|OTHER_ptr	0x822c9048	0xd2428	default/CharCollide	??$_Copy_Construct@UVocalEvent@MidiParser@@@stlpmtx_std@@YAXPAUVocalEvent@MidiParser@@ABU12@@Z	retail addr 0x822c9048 sits 0xd2428 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	424	2	28	98.286	99.71429	OBJECT_this	0x822d8610	0x88c610	default/Voice	?SetReverbEnable@Voice@@QAAX_N@Z	retail addr 0x822d8610 sits 0x88c610 outside the unit's own .text cluster - paired to another class's identically-shaped body
STL_STRIDE_INCLUSTER	4	3	336	99.964	99.96429	OTHER_ptr	0x825a3b48	0	default/OriginalChoreoRemixer	?_M_insert_overflow_aux@?$vector@V?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@stlpmtx_std@@V?$StlNodeAlloc@V?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@stlpmtx_std@@@2@@stlpmtx_std@@IAAXPAV?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@2@ABV32@ABU__false_type@2@I_N@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	48	3	328	99.963	99.96342	OTHER_ptr	0x824b24f0	0	default/LightPreset	?_M_insert_overflow_aux@?$vector@UEntry@LocalePanel@@V?$StlNodeAlloc@UEntry@LocalePanel@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUEntry@LocalePanel@@ABU34@ABU__false_type@2@I_N@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-28	3	328	99.963	99.96342	OTHER_ptr	0x822bddb0	0	default/HamNavProvider	?_M_insert_overflow_aux@?$vector@UNavItem@HamNavProvider@@V?$StlNodeAlloc@UNavItem@HamNavProvider@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUNavItem@HamNavProvider@@ABU34@ABU__false_type@2@I_N@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-60	3	328	99.963	99.96342	OTHER_ptr	0x82484510	0	default/Morph	?_M_insert_overflow_aux@?$vector@ULocalizedName@HamMove@@V?$StlNodeAlloc@ULocalizedName@HamMove@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAULocalizedName@HamMove@@ABU34@ABU__false_type@2@I_N@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-40	3	328	99.963	99.96342	OTHER_ptr	0x822ce258	0	default/DrivenPropertyEntry	?_M_insert_overflow_aux@?$vector@VFlowMathOp@@V?$StlNodeAlloc@VFlowMathOp@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVFlowMathOp@@ABV3@ABU__false_type@2@I_N@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-12	3	328	99.963	99.96342	OTHER_ptr	0x823082d0	0	default/FlowNode	?_M_insert_overflow_aux@?$vector@VDrivenPropertyEntry@@V?$StlNodeAlloc@VDrivenPropertyEntry@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVDrivenPropertyEntry@@ABV3@ABU__false_type@2@I_N@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-388	3	324	99.963	99.96296	OTHER_ptr	0x8258c9e0	0	default/RhythmBattle	?_M_insert_overflow_aux@?$vector@VArchiveSkeleton@@V?$StlNodeAlloc@VArchiveSkeleton@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVArchiveSkeleton@@ABV3@ABU__false_type@2@I_N@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-12	2	136	99.941	99.94118	OTHER_ptr|STACK_frameptr	0x826f8380	0	default/DepthBuffer3D	??1?$vector@VFlowMathOp@@V?$StlNodeAlloc@VFlowMathOp@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-44	2	128	99.938	99.9375	OTHER_ptr|STACK_frameptr	0x82788b00	0	default/HamRibbon	?resize@?$vector@V?$Key@VTransform@@@@V?$StlNodeAlloc@V?$Key@VTransform@@@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABV?$Key@VTransform@@@@@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-28	2	128	99.938	99.9375	OTHER_ptr|STACK_frameptr	0x825a3e30	0	default/SongCollision	?resize@?$vector@UBeatCollisionData@@V?$StlNodeAlloc@UBeatCollisionData@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABUBeatCollisionData@@@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-40	2	128	99.938	99.9375	OTHER_ptr|STACK_frameptr	0x822ceda0	0	default/DrivenPropertyEntry	?resize@?$vector@VFlowMathOp@@V?$StlNodeAlloc@VFlowMathOp@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVFlowMathOp@@@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	12	2	100	99.92	99.92	OTHER_ptr	0x8229e568	0	default/OutfitConfig	??$?6UBoneOp@CharSignalApplier@@V?$StlNodeAlloc@UBoneOp@CharSignalApplier@@@stlpmtx_std@@@@YAAAVBinStream@@AAV0@ABV?$vector@UBoneOp@CharSignalApplier@@V?$StlNodeAlloc@UBoneOp@CharSignalApplier@@@stlpmtx_std@@@stlpmtx_std@@@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	56	2	96	99.917	99.916664	OBJECT_this|OTHER_ptr	0x822a8810	0	default/HamCamTransform	??$__uninitialized_copy@PAUNavItem@HamNavProvider@@PAU12@@stlpmtx_std@@YAPAUNavItem@HamNavProvider@@PAU12@00ABU__false_type@0@@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-16	2	96	99.917	99.916664	OBJECT_this|OTHER_ptr	0x822a9c60	0	default/HamCamTransform	??$__uninitialized_copy@PAUDistEntry@@PAU1@@stlpmtx_std@@YAPAUDistEntry@@PAU1@00ABU__false_type@0@@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-8	2	96	99.917	99.916664	OBJECT_this|OTHER_ptr	0x826a1808	0	default/HolmesClient	??$__uninitialized_copy@PAURecurseInfo@@PAU1@@stlpmtx_std@@YAPAURecurseInfo@@PAU1@00ABU__false_type@0@@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
STL_STRIDE_INCLUSTER	-48	2	96	99.917	99.916664	OBJECT_this|OTHER_ptr	0x826865e0	0	default/SongDB	??$__uninitialized_copy@PAVTrackData@SongDB@@PAV12@@stlpmtx_std@@YAPAVTrackData@SongDB@@PAV12@00ABU__false_type@0@@Z	STL helper over T; immediate is a sizeof(T) stride - needs a per-T sizeof adjudication, not an object-offset one
VBASE_DISPL_DECLINED	-96	2	68	99.882	99.882355	OBJECT_this	0x823c75d8	0	default/FlowIf	??_GFlowIf@@UAAPAXI@Z	vbase displacement (subi this,K / addi K): sized but the bytes are UNNAMED - declining per BQ-2/EC-3 precedent (a fitted pad was added and undone before)
VBASE_DISPL_DECLINED	-124	2	68	99.882	99.882355	OBJECT_this	0x823eb7a0	0	default/FlowTrigger	??_GFlowTrigger@@UAAPAXI@Z	vbase displacement (subi this,K / addi K): sized but the bytes are UNNAMED - declining per BQ-2/EC-3 precedent (a fitted pad was added and undone before)
VBASE_DISPL_DECLINED	-20	2	68	99.882	99.882355	OBJECT_this	0x823c8040	0	default/PracticeSection	??_GPracticeSection@@UAAPAXI@Z	vbase displacement (subi this,K / addi K): sized but the bytes are UNNAMED - declining per BQ-2/EC-3 precedent (a fitted pad was added and undone before)
